timestamp,service,consistency,latency_ms,success,error_message
2025-07-31T22:20:21.428956,pagamentos,strong,1007.5898170471191,False,503 Server Error: SERVICE UNAVAILABLE for url: http://proxy:5000/write
2025-07-31T22:20:22.638568,pagamentos,strong,1009.1326236724854,False,503 Server Error: SERVICE UNAVAILABLE for url: http://proxy:5000/write
2025-07-31T22:20:23.861421,pagamentos,strong,1022.1951007843018,False,503 Server Error: SERVICE UNAVAILABLE for url: http://proxy:5000/write
2025-07-31T22:20:24.083162,pagamentos,strong,21.42047882080078,True,
2025-07-31T22:20:24.294056,pagamentos,strong,10.373353958129883,True,
2025-07-31T22:20:24.499257,pagamentos,strong,4.812717437744141,True,
2025-07-31T22:20:24.705235,pagamentos,strong,5.530595779418945,True,
2025-07-31T22:20:24.915422,pagamentos,strong,9.539365768432617,True,
2025-07-31T22:20:25.123713,pagamentos,strong,7.739543914794922,True,
2025-07-31T22:20:25.328953,pagamentos,strong,4.827260971069336,True,
2025-07-31T22:20:25.538500,pagamentos,strong,8.963823318481445,True,
2025-07-31T22:20:25.743785,pagamentos,strong,4.889488220214844,True,
2025-07-31T22:20:25.953432,pagamentos,strong,9.095430374145508,True,
2025-07-31T22:20:26.158879,pagamentos,strong,5.020380020141602,True,
2025-07-31T22:20:26.366873,pagamentos,strong,7.470130920410156,True,
2025-07-31T22:20:26.575973,pagamentos,strong,8.527755737304688,True,
2025-07-31T22:20:26.783904,pagamentos,strong,7.41124153137207,True,
2025-07-31T22:20:26.989927,pagamentos,strong,5.5675506591796875,True,
2025-07-31T22:20:27.197563,pagamentos,strong,7.0896148681640625,True,
2025-07-31T22:20:27.404369,pagamentos,strong,6.378412246704102,True,
2025-07-31T22:20:27.613260,pagamentos,strong,8.327484130859375,True,
2025-07-31T22:20:27.818426,pagamentos,strong,4.681587219238281,True,
2025-07-31T22:20:28.026037,pagamentos,strong,7.058143615722656,True,
2025-07-31T22:20:28.231067,pagamentos,strong,4.694223403930664,True,
2025-07-31T22:20:28.437559,pagamentos,strong,5.9528350830078125,True,
2025-07-31T22:20:28.647305,pagamentos,strong,9.224176406860352,True,
2025-07-31T22:20:28.853194,pagamentos,strong,5.409002304077148,True,
2025-07-31T22:20:29.060126,pagamentos,strong,6.579875946044922,True,
2025-07-31T22:20:29.270661,pagamentos,strong,10.007381439208984,True,
2025-07-31T22:20:29.476293,pagamentos,strong,5.230903625488281,True,
2025-07-31T22:20:29.685699,pagamentos,strong,8.900880813598633,True,
2025-07-31T22:20:29.896496,pagamentos,strong,10.418176651000977,True,
2025-07-31T22:20:30.101082,pagamentos,strong,4.150390625,True,
2025-07-31T22:20:30.310492,pagamentos,strong,8.617401123046875,True,
2025-07-31T22:20:30.516340,pagamentos,strong,5.482196807861328,True,
