timestamp,service,consistency,latency_ms,success,error_message,conflict_detected
2025-08-30T03:23:22.614258,catalogo,eventual,3106.2171459198,False,"HTTPConnectionPool(host='proxy', port=5000): Max retries exceeded with url: /write (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x7f83be05ce50>: Failed to resolve 'proxy' ([Errno -2] Name or service not known)""))",False
2025-08-30T03:23:22.724276,catalogo,eventual,4.495143890380859,True,,True
2025-08-30T03:23:22.833660,catalogo,eventual,4.3163299560546875,True,,True
2025-08-30T03:23:22.944107,catalogo,eventual,5.54347038269043,True,,False
2025-08-30T03:23:23.054014,catalogo,eventual,4.572391510009766,True,,True
2025-08-30T03:23:23.164039,catalogo,eventual,4.531621932983398,True,,False
2025-08-30T03:23:23.274289,catalogo,eventual,4.578828811645508,True,,True
2025-08-30T03:23:23.383890,catalogo,eventual,4.318952560424805,True,,True
2025-08-30T03:23:23.493649,catalogo,eventual,4.444360733032227,True,,True
2025-08-30T03:23:23.614283,catalogo,eventual,4.620075225830078,True,,True
2025-08-30T03:23:23.741079,catalogo,eventual,11.557579040527344,True,,False
2025-08-30T03:23:23.863045,catalogo,eventual,5.0029754638671875,True,,True
2025-08-30T03:23:23.976460,catalogo,eventual,5.182981491088867,True,,True
2025-08-30T03:23:24.088943,catalogo,eventual,7.111549377441406,True,,True
2025-08-30T03:23:24.203709,catalogo,eventual,6.649494171142578,True,,True
2025-08-30T03:23:24.316668,catalogo,eventual,4.561424255371094,True,,True
2025-08-30T03:23:24.437713,catalogo,eventual,5.721569061279297,True,,True
2025-08-30T03:23:24.555053,catalogo,eventual,7.24339485168457,True,,True
2025-08-30T03:23:24.674819,catalogo,eventual,9.355545043945312,True,,True
2025-08-30T03:23:24.790753,catalogo,eventual,6.992101669311523,True,,True
2025-08-30T03:23:24.905467,catalogo,eventual,6.684541702270508,True,,True
2025-08-30T03:23:25.023756,catalogo,eventual,9.564876556396484,True,,True
2025-08-30T03:23:25.169706,catalogo,eventual,21.843910217285156,True,,True
2025-08-30T03:23:25.294143,catalogo,eventual,5.737543106079102,True,,True
2025-08-30T03:23:25.432363,catalogo,eventual,18.6312198638916,True,,True
2025-08-30T03:23:25.568587,catalogo,eventual,14.324665069580078,True,,True
